Plazo_Renovado,FLAG_VENTA,Nro_Entidades,Dif_Entidades,Meses_oferta,EDAD,Flag_LimProv,Uso_Linea_LOG,Uso_TrimLinea_LOG,Saldo_Consumo_LOG,SUELDO_ESTIMADO_LOG,ANTIGUEDAD_MES_LOG,Linea_Renovado_LOG,Ahorro_LOG,Prestamo_vigente_LOG,Promed_6Mdeuda_LOG,Deuda_Cubierta_LOG,REGION_CALLAO,REGION_CENTRO,REGION_LIMA BALNEARIO,REGION_LIMA CENTRO,REGION_LIMA ESTE,REGION_LIMA MODERNA,REGION_LIMA NORTE,REGION_LIMA PROVINCIA,REGION_LIMA SUR,REGION_NORTE,REGION_OESTE,REGION_ORIENTE,REGION_SIERRA CENTRAL,REGION_SUR,SEXO_F,SEXO_M,EST_CIVIL_C,EST_CIVIL_D,EST_CIVIL_S,EST_CIVIL_U,EST_CIVIL_V,EST_CIVIL_X,EST_CIVIL_Y,Cluster
18,0,2,-1,6.0,35.0,0,0.12046122388428776,0.0,9.765098092875528,7.8616038036620886,4.983606621708336,10.165890277802454,5.7899601708972535,10.36385111529173,8.490404216257545,0.512689485695671,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2
12,0,1,-1,11.0,35.0,1,0.05714669928096429,0.23137255654467545,7.276563318324119,7.8399193600125825,3.4011973816621555,8.086717920303906,6.304448802421981,7.994632311431825,6.005531802676032,0.367844926753576,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
12,0,1,-1,14.865778832087852,33.0,0,0.09360645180618797,0.02865166135323082,6.968982072398033,8.007034012193408,4.663439094112067,7.8636512654486515,5.313205979041787,7.667158255319148,6.626276149771572,0.3425359579048464,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
18,0,1,-1,21.0,33.0,1,0.18632265667048487,0.07202577274717184,8.408493774492896,8.161375023197486,4.07753744390572,9.482731125859004,6.285998094508865,9.118992332516877,9.455245415071905,0.29379360890943584,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
24,0,2,-1,10.64995529531822,33.0,1,0.3724486818347731,0.5097938917134708,8.991762631466072,7.330405211844402,5.10594547390058,8.527341522468053,0.0,8.98281222234415,0.0,0.9521249480833431,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
36,0,2,-2,10.446389365736117,34.0,1,0.36810932156439546,0.33314527986152437,9.739890394900435,8.820847033377717,3.6375861597263857,9.87822102528824,7.597396320212795,10.075043029177243,7.858769446785895,0.6263682849900366,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
6,0,1,-1,11.0,33.0,1,0.04581622257610339,0.05176953096890583,8.12419208392778,9.701616136497458,4.143134726391533,9.87822102528824,9.206633510044856,9.219002745054835,9.223519807417265,0.15959184977664131,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
12,0,1,0,16.71786863589874,34.0,1,0.08493655937676396,0.48613654116938876,9.665797461464617,8.037617495766316,4.787491742782046,9.87822102528824,8.24354550792826,10.071076109728018,8.663398101228244,0.5925597002685037,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
36,0,1,0,9.0,33.0,1,0.0,0.0,8.811389996837262,7.786423060599795,5.0238805208462765,9.400216653174247,9.015905747298426,9.504426892100957,11.792975991360754,0.4414376027891904,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
24,0,2,0,1.0,33.0,1,0.1270924571005794,0.0,7.189892004378288,8.149601735736155,4.77912349311153,9.249657234353133,7.519149957669823,6.760414691083428,9.985858317564578,0.11991409666533759,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
36,0,1,0,15.0,34.0,1,0.47112799690744483,0.3045878609001046,8.009642200183904,9.186252576447092,3.9512437185814275,10.725489582719506,8.815666824946216,10.515560243318403,10.611231841776666,0.0640333935821257,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
